Donor,cell_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
3,156,0,0,0,,,,,,,,,,,,,,,
3,157,1,1,0,0,0,0,0,,,,,,,,,,,
3,158,1,1,1,1,,,,,,,,,,,,,,
3,159,1,0,0,,,,,,,,,,,,,,,
3,160,1,0,0,,,,,,,,,,,,,,,
3,161,1,0,1,,,,,,,,,,,,,,,
3,162,1,0,,,,,,,,,,,,,,,,
3,163,1,0,,,,,,,,,,,,,,,,
3,164,,,,,,,,,,,,,,,,,,
3,165,1,0,0,,,,,,,,,,,,,,,
3,166,1,1,0,,,,,,,,,,,,,,,
