Cell,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,,,
479,0,,,,,,,,,,,,,,,,,
480,1,0,,,,,,,,,,,,,,,,
481,1,1,1,1,,,,,,,,,,,,,,
482,0,1,0,,,,,,,,,,,,,,,
483,1,1,1,1,0,,,,,,,,,,,,,
484,1,1,1,0,0,,,,,,,,,,,,,
485,0,,,,,,,,,,,,,,,,,
486,0,0,0,,,,,,,,,,,,,,,
487,1,1,1,1,0,,,,,,,,,,,,,
488,0,0,0,1,0,,,,,,,,,,,,,
489,1,0,0,,,,,,,,,,,,,,,
490,1,,,,,,,,,,,,,,,,,
491,1,1,0,1,0,1,,,,,,,,,,,,
492,1,1,1,1,,,,,,,,,,,,,,
493,1,1,1,,,,,,,,,,,,,,,
494,1,1,1,1,,,,,,,,,,,,,,
495,1,0,0,0,0,,,,,,,,,,,,,
496,1,0,,,,,,,,,,,,,,,,
497,1,1,0,1,1,1,1,1,1,,,,,,,,,
498,0,1,1,1,,,,,,,,,,,,,,
499,1,1,0,0,0,0,,,,,,,,,,,,
500,1,1,1,1,1,,,,,,,,,,,,,
501,1,1,1,1,,,,,,,,,,,,,,
502,1,1,1,0,0,0,0,,,,,,,,,,,
503,1,1,1,0,0,0,0,0,,,,,,,,,,
504,1,1,1,,,,,,,,,,,,,,,
505,1,0,0,0,0,1,,,,,,,,,,,,
506,1,1,1,,,,,,,,,,,,,,,
507,1,1,0,1,0,0,,,,,,,,,,,,
508,1,1,1,0,0,0,0,0,,,,,,,,,,
509,0,1,1,0,1,1,,,,,,,,,,,,
510,1,1,1,0,,,,,,,,,,,,,,
511,1,1,1,0,,,,,,,,,,,,,,
512,1,1,1,0,1,1,1,0,,,,,,,,,,
513,1,1,0,1,0,0,1,0,,,,,,,,,,
514,1,1,1,1,,,,,,,,,,,,,,
515,1,1,1,1,1,1,0,,,,,,,,,,,
516,1,1,0,,,,,,,,,,,,,,,
517,1,1,1,0,,,,,,,,,,,,,,
518,1,1,1,,,,,,,,,,,,,,,
519,1,1,1,1,,,,,,,,,,,,,,
520,1,0,,,,,,,,,,,,,,,,
521,0,0,0,0,0,0,0,0,,,,,,,,,,
522,1,1,1,0,,,,,,,,,,,,,,
523,0,0,0,1,,,,,,,,,,,,,,
524,1,1,1,1,,,,,,,,,,,,,,
525,1,0,0,0,0,,,,,,,,,,,,,
526,1,1,1,0,0,0,0,0,,,,,,,,,,
527,1,1,0,1,1,1,1,0,1,,,,,,,,,
528,1,1,1,1,1,0,0,0,,,,,,,,,,
529,1,0,0,0,1,0,,,,,,,,,,,,
530,1,1,1,1,0,0,0,0,,,,,,,,,,
531,1,1,0,0,,,,,,,,,,,,,,
532,1,1,1,0,,,,,,,,,,,,,,
533,1,0,0,0,0,,,,,,,,,,,,,
534,1,1,1,1,0,0,0,,,,,,,,,,,
535,0,1,1,0,0,,,,,,,,,,,,,
536,1,1,0,1,1,1,1,0,1,,,,,,,,,
537,1,1,1,0,0,,,,,,,,,,,,,
538,0,0,0,0,0,0,0,0,0,,,,,,,,,
